SubmissionDate,DeviceId,Image,Location_Latitude,Location_Longitude,Location_Altitude,Location_Accuracy,Description,KEY
11/30/2012 15:06,,1300733419288.jpg,47.65824883,-122.3131459,31,5,The Ave,uuid:3e862bc9-2ba2-440f-9668-1f5180f685bc
11/30/2012 15:05,,1300586374578.jpg,47.64540379,-122.3363659,-7.199999809,4.472136,Kite hill... Gasworks,uuid:4698a741-e827-4321-95ff-6843b9344041
11/30/2012 15:06,,1300755733145.jpg,47.68999464,-122.3554331,68.59999847,7.2111025,Greenwood,uuid:510c3186-7f47-4cea-99a7-a37d0392563b
11/30/2012 15:04,,1300497851005.jpg,47.65434975,-122.3049898,21.29999924,6.708204,HUB construction,uuid:623efd30-aed1-4770-af0c-9a7f5c761ae7
11/30/2012 15:07,,1300756418213.jpg,47.6611747,-122.3501364,68.80000305,5,Upper Fremont,uuid:6f926cb7-b4d7-446a-a075-39599b4a30a6
11/30/2012 15:07,,1300756163550.jpg,47.66801164,-122.3553749,80,5,Phinney Ridge,uuid:74c6fe5b-0be3-4922-9361-7d990ae40d86
11/30/2012 15:06,,1300755113126.jpg,47.68088862,-122.3291259,48.59999847,5,Greenlake,uuid:7ec35e43-e3fb-42a2-9c78-d72f435a2f68
11/30/2012 15:06,,1300754415347.jpg,47.66945725,-122.3036042,25.39999962,5,Ravenna Park,uuid:8d89c924-19b2-438d-831a-5980daf1eb41
11/30/2012 15:05,,1300585928115.jpg,47.65335942,-122.3255423,-14.89999962,6.708204,Foot of Latona,uuid:8e8257a8-c277-4a80-af88-83c1a84630d1
11/30/2012 15:05,,1300728857083.jpg,47.62708792,-122.3327497,-8,6.708204,Chandler's Cove,uuid:9ee9e42d-d642-4d1f-8b13-1bbaeb37027a
11/30/2012 15:04,,1300584389936.jpg,47.64834739,-122.2998985,-20.29999924,5.656854,Docks at WAC,uuid:cdea1ec2-3487-412c-a9b2-6f469c3838b1
11/30/2012 15:07,,1300756948091.jpg,47.64888655,-122.3515668,-13.80000019,6.708204,Fremont Bridge,uuid:e220ddf4-bcad-47c7-b102-2fa1d591c62e
11/30/2012 15:05,,1300586213690.jpg,47.64634424,-122.3364495,-7.099999905,6.3245554,Home,uuid:e9a213d6-74a7-4f60-a8a5-68c599d3639d
